20:30:27.417 [main] DEBUG reversi.Kordinata - konstruktor meghívva.
20:30:27.420 [main] DEBUG reversi.Kordinata - konstruktor meghívva.
20:30:27.420 [main] DEBUG reversi.Kordinata - konstruktor meghívva.
20:30:27.420 [main] DEBUG reversi.Kordinata - konstruktor meghívva.
20:30:27.420 [main] DEBUG reversi.Kordinata - konstruktor meghívva.
20:30:27.420 [main] DEBUG reversi.Kordinata - konstruktor meghívva.
20:30:27.420 [main] DEBUG reversi.Kordinata - konstruktor meghívva.
20:30:27.421 [main] DEBUG reversi.Kordinata - konstruktor meghívva.
20:30:27.421 [main] DEBUG reversi.Kordinata - konstruktor meghívva.
20:30:27.421 [main] DEBUG reversi.Kordinata - konstruktor meghívva.
20:30:27.421 [main] DEBUG reversi.Kordinata - konstruktor meghívva.
20:30:27.422 [main] DEBUG reversi.Kordinata - konstruktor meghívva.
20:30:27.422 [main] DEBUG reversi.Kordinata - konstruktor meghívva.
20:30:27.424 [main] DEBUG reversi.Kordinata - konstruktor meghívva.
20:30:27.424 [main] DEBUG reversi.Kordinata - konstruktor meghívva.
20:30:27.424 [main] DEBUG reversi.Kordinata - konstruktor meghívva.
20:30:27.424 [main] DEBUG reversi.Bejar - metódus meghívása metörtént.
20:30:27.424 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.424 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.424 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.424 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.424 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.424 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.424 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.424 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.424 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.424 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.424 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.424 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.424 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.425 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.425 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.425 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.425 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.425 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.425 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.425 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.425 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.425 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.425 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.425 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.425 [main] DEBUG reversi.Kordinata - konstruktor meghívva.
20:30:27.425 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.425 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.425 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.425 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.425 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.425 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.426 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.426 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.426 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.426 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.426 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.426 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.426 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.426 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.426 [main] DEBUG reversi.Kordinata - konstruktor meghívva.
20:30:27.427 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.427 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.427 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.427 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.427 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.427 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.427 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.427 [main] DEBUG reversi.Kordinata - konstruktor meghívva.
20:30:27.427 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.427 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
